STATUS | wrapper  | 2015/09/10 10:41:12 | --> Wrapper Started as Console
STATUS | wrapper  | 2015/09/10 10:41:12 | Launching a JVM...
INFO   | jvm 1    | 2015/09/10 10:41:13 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2015/09/10 10:41:13 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2015/09/10 10:41:13 | 
INFO   | jvm 1    | 2015/09/10 10:41:13 | 
INFO   | jvm 1    | 2015/09/10 10:41:13 | WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 1    | 2015/09/10 10:41:13 |           The file is located on the path at the following location but
INFO   | jvm 1    | 2015/09/10 10:41:13 |           could not be loaded:
INFO   | jvm 1    | 2015/09/10 10:41:13 |             C:\DBSI\project\h2\service\.\wrapper.dll
INFO   | jvm 1    | 2015/09/10 10:41:13 |           Please verify that the file is readable by the current user
INFO   | jvm 1    | 2015/09/10 10:41:13 |           and that the file has not been corrupted in any way.
INFO   | jvm 1    | 2015/09/10 10:41:13 |           One common cause of this problem is running a 32-bit version
INFO   | jvm 1    | 2015/09/10 10:41:13 |           of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 1    | 2015/09/10 10:41:13 |           This is a 64-bit JVM.
INFO   | jvm 1    | 2015/09/10 10:41:13 |           Reported cause:
INFO   | jvm 1    | 2015/09/10 10:41:13 |             C:\DBSI\project\h2\service\wrapper.dll: Can't load IA 32-bit .dll on a AMD 64-bit platform
INFO   | jvm 1    | 2015/09/10 10:41:13 |           System signals will not be handled correctly.
INFO   | jvm 1    | 2015/09/10 10:41:13 | 
INFO   | jvm 1    | 2015/09/10 10:41:14 | TCP server running at tcp://192.168.154.1:9092 (only local connections)
INFO   | jvm 1    | 2015/09/10 10:41:14 | Web Console server running at http://192.168.154.1:8082 (others can connect)
STATUS | wrapper  | 2015/09/10 10:42:06 | --> Wrapper Started as Console
STATUS | wrapper  | 2015/09/10 10:42:06 | Launching a JVM...
INFO   | jvm 1    | 2015/09/10 10:42:06 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2015/09/10 10:42:06 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2015/09/10 10:42:06 | 
INFO   | jvm 1    | 2015/09/10 10:42:06 | 
INFO   | jvm 1    | 2015/09/10 10:42:06 | WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 1    | 2015/09/10 10:42:06 |           The file is located on the path at the following location but
INFO   | jvm 1    | 2015/09/10 10:42:06 |           could not be loaded:
INFO   | jvm 1    | 2015/09/10 10:42:06 |             C:\DBSI\project\h2\service\.\wrapper.dll
INFO   | jvm 1    | 2015/09/10 10:42:06 |           Please verify that the file is readable by the current user
INFO   | jvm 1    | 2015/09/10 10:42:06 |           and that the file has not been corrupted in any way.
INFO   | jvm 1    | 2015/09/10 10:42:06 |           One common cause of this problem is running a 32-bit version
INFO   | jvm 1    | 2015/09/10 10:42:06 |           of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 1    | 2015/09/10 10:42:06 |           This is a 64-bit JVM.
INFO   | jvm 1    | 2015/09/10 10:42:06 |           Reported cause:
INFO   | jvm 1    | 2015/09/10 10:42:06 |             C:\DBSI\project\h2\service\wrapper.dll: Can't load IA 32-bit .dll on a AMD 64-bit platform
INFO   | jvm 1    | 2015/09/10 10:42:06 |           System signals will not be handled correctly.
INFO   | jvm 1    | 2015/09/10 10:42:06 | 
INFO   | jvm 1    | 2015/09/10 10:42:06 | TCP server running at tcp://192.168.154.1:9092 (only local connections)
INFO   | jvm 1    | 2015/09/10 10:42:06 | Web Console server running at http://192.168.154.1:8082 (others can connect)
STATUS | wrapper  | 2015/09/10 10:42:45 | H2 Database Engine Service installed.
STATUS | wrapper  | 2015/09/10 10:42:50 | --> Wrapper Started as Service
STATUS | wrapper  | 2015/09/10 10:42:50 | Launching a JVM...
INFO   | jvm 1    | 2015/09/10 10:42:50 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2015/09/10 10:42:50 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2015/09/10 10:42:50 | 
INFO   | jvm 1    | 2015/09/10 10:42:50 | 
INFO   | jvm 1    | 2015/09/10 10:42:50 | WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 1    | 2015/09/10 10:42:50 |           The file is located on the path at the following location but
INFO   | jvm 1    | 2015/09/10 10:42:50 |           could not be loaded:
INFO   | jvm 1    | 2015/09/10 10:42:50 |             C:\DBSI\project\h2\service\.\wrapper.dll
INFO   | jvm 1    | 2015/09/10 10:42:50 |           Please verify that the file is readable by the current user
INFO   | jvm 1    | 2015/09/10 10:42:50 |           and that the file has not been corrupted in any way.
INFO   | jvm 1    | 2015/09/10 10:42:50 |           One common cause of this problem is running a 32-bit version
INFO   | jvm 1    | 2015/09/10 10:42:50 |           of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 1    | 2015/09/10 10:42:50 |           This is a 64-bit JVM.
INFO   | jvm 1    | 2015/09/10 10:42:50 |           Reported cause:
INFO   | jvm 1    | 2015/09/10 10:42:50 |             C:\DBSI\project\h2\service\wrapper.dll: Can't load IA 32-bit .dll on a AMD 64-bit platform
INFO   | jvm 1    | 2015/09/10 10:42:50 |           System signals will not be handled correctly.
INFO   | jvm 1    | 2015/09/10 10:42:50 | 
INFO   | jvm 1    | 2015/09/10 10:42:51 | TCP server running at tcp://192.168.154.1:9092 (only local connections)
INFO   | jvm 1    | 2015/09/10 10:42:51 | Web Console server running at http://192.168.154.1:8082 (only local connections)
STATUS | wrapper  | 2015/09/10 10:43:11 | --> Wrapper Started as Console
STATUS | wrapper  | 2015/09/10 10:43:11 | Launching a JVM...
INFO   | jvm 1    | 2015/09/10 10:43:12 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2015/09/10 10:43:12 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2015/09/10 10:43:12 | 
INFO   | jvm 1    | 2015/09/10 10:43:12 | 
INFO   | jvm 1    | 2015/09/10 10:43:12 | WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 1    | 2015/09/10 10:43:12 |           The file is located on the path at the following location but
INFO   | jvm 1    | 2015/09/10 10:43:12 |           could not be loaded:
INFO   | jvm 1    | 2015/09/10 10:43:12 |             C:\DBSI\project\h2\service\.\wrapper.dll
INFO   | jvm 1    | 2015/09/10 10:43:12 |           Please verify that the file is readable by the current user
INFO   | jvm 1    | 2015/09/10 10:43:12 |           and that the file has not been corrupted in any way.
